experiment,repeat_id,b,scale_state,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
slope_bias,8,0.25,compressed,0.964632497323796,0.964632497323796,0.964083535067466,-0.000548962256330277,0.1614,0.1614,0.2546,1,0,0.633935585231736,0.366064414768264,0.0236905611111991,0.000768418610205212,0.0185815842731262,0.000112848540186942,-0.00298104109477687,0.0932,466,0,0.0932,0,466,0,1,0,-0.000548962256330265,-0.00589015296491701,0.00589015296491701,1,1
slope_bias,8,0.5,compressed,0.964632497323796,0.964632497323796,0.964083535067466,-0.000548962256330277,0.1614,0.1614,0.2546,1,0,0.633935585231736,0.366064414768264,0.010529138271644,0.000768418610205212,0.00750277967923549,0.000112848540186942,-0.00596208218955374,0.0932,466,0,0.0932,0,466,0,1,0,-0.000548962256330265,-0.00589015296491701,0.00589015296491701,1,1
slope_bias,8,0.75,compressed,0.964632497323796,0.964632497323796,0.964083535067466,-0.000548962256330277,0.1614,0.1614,0.2546,1,0,0.633935585231736,0.366064414768264,0.00263228456791101,0.000768418610205212,0.00158496664528162,0.000112848540186942,-0.00894312328433061,0.0932,466,0,0.0932,0,466,0,1,0,-0.000548962256330265,-0.00589015296491701,0.00589015296491701,1,1
slope_bias,8,1,identity_scale,0.964632497323796,0.964632497323796,0.964083535067466,-0.000548962256330277,0.1614,0.1614,0.2546,1,0,0.633935585231736,0.366064414768264,0,0.000768418610205212,0.000828145171264618,0.000112848540186942,-0.0119241643791075,0.0932,466,0,0.0932,0,466,0,1,0,-0.000548962256330265,-0.00589015296491701,0.00589015296491701,1,1
slope_bias,8,1.25,expanded,0.964632497323796,0.964632497323796,0.964083535067466,-0.000548962256330277,0.1614,0.1614,0.2546,1,0,0.633935585231736,0.366064414768264,0.00263228456791101,0.000768418610205212,0.00523231525718448,0.000112848540186942,-0.0149052054738844,0.0932,466,0,0.0932,0,466,0,1,0,-0.000548962256330265,-0.00589015296491701,0.00589015296491701,1,1
slope_bias,8,1.5,expanded,0.964632497323796,0.964632497323796,0.964083535067466,-0.000548962256330277,0.1614,0.1614,0.2546,1,0,0.633935585231736,0.366064414768264,0.010529138271644,0.000768418610205212,0.0147974769030412,0.000112848540186942,-0.0178862465686612,0.0932,466,0,0.0932,0,466,0,1,0,-0.000548962256330265,-0.00589015296491701,0.00589015296491701,1,1
slope_bias,8,2,expanded,0.964632497323796,0.964632497323796,0.964083535067466,-0.000548962256330277,0.1614,0.1614,0.2546,1,0,0.633935585231736,0.366064414768264,0.0421165530865761,0.000768418610205212,0.0494107748745652,0.000112848540186942,-0.023848328758215,0.0932,466,0,0.0932,0,466,0,1,0,-0.000548962256330265,-0.00589015296491701,0.00589015296491701,1,1
slope_bias,9,0.25,compressed,0.965932642117405,0.965932642117405,0.96491674700659,-0.00101589511081479,0.1612,0.1612,0.0552,1,0,1,0,0.024849035631748,0.00103845656441429,0.0242431945843051,0.000613912094881535,0.00634541866844957,0.106,530,0,0.106,0,530,0,1,0,-0.00101589511081478,0.00958391613976212,0.00958391613976212,1,1
slope_bias,9,0.5,compressed,0.965932642117405,0.965932642117405,0.96491674700659,-0.00101589511081479,0.1612,0.1612,0.0552,1,0,1,0,0.0110440158363324,0.00103845656441429,0.0108598954016182,0.000613912094881535,0.0126908373368991,0.106,530,0,0.106,0,530,0,1,0,-0.00101589511081478,0.00958391613976212,0.00958391613976212,1,1
slope_bias,9,0.75,compressed,0.965932642117405,0.965932642117405,0.96491674700659,-0.00101589511081479,0.1612,0.1612,0.0552,1,0,1,0,0.00276100395908311,0.00103845656441429,0.00288878675896249,0.000613912094881535,0.0190362560053487,0.106,530,0,0.106,0,530,0,1,0,-0.00101589511081478,0.00958391613976212,0.00958391613976212,1,1
slope_bias,9,1,identity_scale,0.965932642117405,0.965932642117405,0.96491674700659,-0.00101589511081479,0.1612,0.1612,0.0552,1,0,1,0,0,0.00103845656441429,0.000329868656338103,0.000613912094881535,0.0253816746737983,0.106,530,0,0.106,0,530,0,1,0,-0.00101589511081478,0.00958391613976212,0.00958391613976212,1,1
slope_bias,9,1.25,expanded,0.965932642117405,0.965932642117405,0.96491674700659,-0.00101589511081479,0.1612,0.1612,0.0552,1,0,1,0,0.00276100395908311,0.00103845656441429,0.003183141093745,0.000613912094881535,0.0317270933422478,0.106,530,0,0.106,0,530,0,1,0,-0.00101589511081478,0.00958391613976212,0.00958391613976212,1,1
slope_bias,9,1.5,expanded,0.965932642117405,0.965932642117405,0.96491674700659,-0.00101589511081479,0.1612,0.1612,0.0552,1,0,1,0,0.0110440158363324,0.00103845656441429,0.0114486040711832,0.000613912094881535,0.0380725120106974,0.106,530,0,0.106,0,530,0,1,0,-0.00101589511081478,0.00958391613976212,0.00958391613976212,1,1
slope_bias,9,2,expanded,0.965932642117405,0.965932642117405,0.96491674700659,-0.00101589511081479,0.1612,0.1612,0.0552,1,0,1,0,0.0441760633453297,0.00103845656441429,0.0442161016461534,0.000613912094881535,0.0507633493475965,0.106,530,0,0.106,0,530,0,1,0,-0.00101589511081478,0.00958391613976212,0.00958391613976212,1,1
slope_bias,10,0.25,compressed,0.966616298926365,0.966616298926365,0.966122213253051,-0.000494085673314326,0.1682,0.1682,0.2576,1,0,0.652950310559006,0.347049689440994,0.0234627633378588,0.000949275661816183,0.0254670456307814,0.000655530449284599,-0.00284718754054045,0.0894,447,0,0.0894,0,447,0,1,0,-0.000494085673314254,-0.00552668538382834,0.00552668538382834,1,1
slope_bias,10,0.5,compressed,0.966616298926365,0.966616298926365,0.966122213253051,-0.000494085673314326,0.1682,0.1682,0.2576,1,0,0.652950310559006,0.347049689440994,0.0104278948168261,0.000949275661816183,0.0120288275805409,0.000655530449284599,-0.00569437508108089,0.0894,447,0,0.0894,0,447,0,1,0,-0.000494085673314254,-0.00552668538382834,0.00552668538382834,1,1
slope_bias,10,0.75,compressed,0.966616298926365,0.966616298926365,0.966122213253051,-0.000494085673314326,0.1682,0.1682,0.2576,1,0,0.652950310559006,0.347049689440994,0.00260697370420653,0.000949275661816183,0.00369231412278305,0.000655530449284599,-0.00854156262162134,0.0894,447,0,0.0894,0,447,0,1,0,-0.000494085673314254,-0.00552668538382834,0.00552668538382834,1,1
slope_bias,10,1,identity_scale,0.966616298926365,0.966616298926365,0.966122213253051,-0.000494085673314326,0.1682,0.1682,0.2576,1,0,0.652950310559006,0.347049689440994,0,0.000949275661816183,0.000457505257507752,0.000655530449284599,-0.0113887501621618,0.0894,447,0,0.0894,0,447,0,1,0,-0.000494085673314254,-0.00552668538382834,0.00552668538382834,1,1
slope_bias,10,1.25,expanded,0.966616298926365,0.966616298926365,0.966122213253051,-0.000494085673314326,0.1682,0.1682,0.2576,1,0,0.652950310559006,0.347049689440994,0.00260697370420653,0.000949275661816183,0.00232440098471505,0.000655530449284599,-0.0142359377027022,0.0894,447,0,0.0894,0,447,0,1,0,-0.000494085673314254,-0.00552668538382834,0.00552668538382834,1,1
slope_bias,10,1.5,expanded,0.966616298926365,0.966616298926365,0.966122213253051,-0.000494085673314326,0.1682,0.1682,0.2576,1,0,0.652950310559006,0.347049689440994,0.0104278948168261,0.000949275661816183,0.00929300130440494,0.000655530449284599,-0.0170831252432427,0.0894,447,0,0.0894,0,447,0,1,0,-0.000494085673314254,-0.00552668538382834,0.00552668538382834,1,1
