experiment,repeat_id,a,direction,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
additive_bias,222,-0.5,score_low_bias,0.964939370296207,0.961053730077825,0.964363970984404,0.0033102409065785,0.1662,0,0.079,,,1,0,0.25,0.00124007338043698,0.260143502330393,0.0011642367408402,-0.484763411322135,0.079,395,0.079,0,395,0,1,0,0.00331024090657843,0,0.041901783627575,0.041901783627575,1,1
additive_bias,222,-0.25,score_low_bias,0.964939370296207,0.961053730077825,0.964363970984404,0.0033102409065785,0.1662,0,0.079,,,1,0,0.0625,0.00124007338043698,0.0678298170120403,0.0011642367408402,-0.234763411322135,0.079,395,0.079,0,395,0,1,0,0.00331024090657843,0,0.041901783627575,0.041901783627575,1,1
additive_bias,222,-0.1,score_low_bias,0.964939370296207,0.961514770512045,0.964363970984404,0.00284920047235904,0.1662,0.004,0.079,1,0,1,0,0.01,0.00124007338043698,0.012441605821029,0.0011642367408402,-0.0847634113221354,0.075,375,0.075,0,375,0,1,0,0.002849200472359,0,0.0379893396314534,0.0379893396314534,1,1
additive_bias,222,0,no_bias,0.964939370296207,0.964939370296207,0.964363970984404,-0.000575399311802949,0.1662,0.1662,0.079,1,0,1,0,0,0.00124007338043698,0.000516131693688157,0.0011642367408402,0.0152365886778646,0.0872,436,0,0.0872,0,436,0,1,0,-0.000575399311803041,0.00659861596104405,0.00659861596104405,1,1
additive_bias,222,0.1,score_high_bias,0.964939370296207,0.948881992112149,0.964363970984404,0.0154819788722551,0.1662,0.6032,0.079,0.27553050397878,0.72446949602122,1,0,0.01,0.00124007338043698,0.0085906575663473,0.0011642367408402,0.115236588677865,0.5242,2621,0.437,0.0872,2185,436,0.833651278138115,0.166348721861885,0.0160573781840581,-0.000575399311803041,-0.0295344885010589,0.0317298311634132,1,1
additive_bias,222,0.25,score_high_bias,0.964939370296207,0.916899404749722,0.964363970984404,0.0474645662346816,0.1662,0.7944,0.079,0.209214501510574,0.790785498489426,1,0,0.0625,0.00124007338043698,0.058202446375336,0.0011642367408402,0.265236588677865,0.7154,3577,0.6282,0.0872,3141,436,0.878110148168857,0.121889851831143,0.0480399655464847,-0.000575399311803041,-0.0663468915776931,0.0679555002212576,1,1
additive_bias,222,0.5,score_high_bias,0.964939370296207,0.859511242721192,0.964363970984404,0.104852728263212,0.1662,0.9528,0.079,0.174433249370277,0.825566750629723,1,0,0.25,0.00124007338043698,0.240888761056984,0.0011642367408402,0.515236588677865,0.8738,4369,0.7866,0.0872,3933,436,0.900205996795605,0.0997940032043946,0.105428127575015,-0.000575399311803041,-0.119996255737253,0.121313260341975,1,1
additive_bias,223,-0.5,score_low_bias,0.964056490329732,0.960733864538429,0.963675781094076,0.00294191655564613,0.1508,0,0.0794,,,1,0,0.25,0.00101857066893566,0.256761769413914,0.000990031780908318,-0.488257732059875,0.0794,397,0.0794,0,397,0,1,0,0.00294191655564608,0,0.0370518457889935,0.0370518457889935,1,1
additive_bias,223,-0.25,score_low_bias,0.964056490329732,0.960733864538429,0.963675781094076,0.00294191655564613,0.1508,0,0.0794,,,1,0,0.0625,0.00101857066893566,0.0660458916294672,0.000990031780908318,-0.238257732059875,0.0794,397,0.0794,0,397,0,1,0,0.00294191655564608,0,0.0370518457889935,0.0370518457889935,1,1
additive_bias,223,-0.1,score_low_bias,0.964056490329732,0.961139434336602,0.963675781094076,0.00253634675747327,0.1508,0.0032,0.0794,1,0,1,0,0.01,0.00101857066893566,0.0116163649587991,0.000990031780908318,-0.0882577320598749,0.0762,381,0.0762,0,381,0,1,0,0.00253634675747325,0,0.0332853905180217,0.0332853905180217,1,1
