experiment,repeat_id,sigma,a,direction,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
sorting_additive_bias,3,0.12,0.1,score_high_bias,0.965835243981562,0.936289390277069,0.962291184554678,0.0260017942776093,0.155,0.608,0.008,0.227960526315789,0.772039473684211,0.4,0.6,0.018543631699632,0.00974789565055192,0.0112247068576925,0.000254276814552789,0.182227631738224,0.6,3000,0.4646,0.1354,2323,677,0.774333333333333,0.225666666666667,0.0290859736203618,-0.00308417934275253,-0.0433363237960155,0.0536169216051906,0.696878921027157,0.320736758304084
sorting_additive_bias,4,0,-0.1,score_low_bias,0.966352766808786,0.96296236538194,0.96604169672655,0.00307933134460991,0.1652,0.0038,0.2374,1,0,0.695871946082561,0.304128053917439,0.01,0.00112283956240151,0.00980528430156208,0.000809272664680447,-0.108785353873545,0.2336,1168,0.1614,0.0722,807,361,0.690924657534247,0.309075342465753,0.00339040142684526,-0.000311070082235391,0.0131820691121998,0.0158453403642151,1,1
sorting_additive_bias,4,0,0.1,score_high_bias,0.966352766808786,0.950650859202601,0.96604169672655,0.0153908375239494,0.1652,0.606,0.2374,0.272607260726073,0.727392739273927,0.695871946082561,0.304128053917439,0.01,0.00112283956240151,0.011038812816906,0.000809272664680447,0.0912146461264552,0.3686,1843,0.3686,0,1843,0,1,0,0.0153908375239494,0,-0.0417548494952508,0.0417548494952508,1,1
sorting_additive_bias,4,0.02,-0.1,score_low_bias,0.966352766808786,0.962948992756317,0.965324777689384,0.002375784933067,0.1652,0.0038,0.1658,1,0,0.691194209891435,0.308805790108565,0.0103498171005681,0.00170777293988373,0.00964129336191324,0.000826048139327062,-0.100032932332127,0.162,810,0.1108,0.0512,554,256,0.683950617283951,0.316049382716049,0.00296446506740276,-0.000588680134335683,0.0146653390930066,0.0219329950724595,0.965558377278335,0.636495418233235
sorting_additive_bias,4,0.02,0.1,score_high_bias,0.966352766808786,0.950316070053804,0.965324777689384,0.0150087076355808,0.1652,0.606,0.1658,0.272607260726073,0.727392739273927,0.691194209891435,0.308805790108565,0.0103498171005681,0.00170777293988373,0.0108748218772572,0.000826048139327062,0.0999670676678735,0.4402,2201,0.3896,0.0506,1948,253,0.885052248977737,0.114947751022263,0.0154480166206461,-0.000439308985065286,-0.0340952013529779,0.0360911531251963,0.965558377278335,0.790635137022524
sorting_additive_bias,4,0.05,-0.1,score_low_bias,0.966352766808786,0.962729390172952,0.963824298645176,0.00109490847222404,0.1652,0.0038,0.1502,0.842105263157895,0.157894736842105,0.560585885486019,0.439414114513981,0.0119194568036747,0.002965369729446,0.00978114886267742,0.00125782584705236,-0.0984109847774602,0.1464,732,0.081,0.0654,405,327,0.55327868852459,0.44672131147541,0.00237117349752418,-0.00127626502530009,0.00747888300699518,0.0249141975602751,0.886069441554778,0.317011554127414
sorting_additive_bias,4,0.05,0.1,score_high_bias,0.966352766808786,0.947935179096189,0.963824298645176,0.0158891195489873,0.1652,0.606,0.1502,0.272277227722772,0.727722772277228,0.560585885486019,0.439414114513981,0.0119194568036747,0.002965369729446,0.0110146773780214,0.00125782584705236,0.10158901522254,0.4558,2279,0.375,0.0808,1875,404,0.822729267222466,0.177270732777534,0.0171357126595312,-0.00124659311054391,-0.0348598498222627,0.0403297625495286,0.886069441554778,0.456706788925244
sorting_additive_bias,4,0.08,-0.1,score_low_bias,0.966352766808786,0.962675352504909,0.962769695238837,9.43427339280545e-05,0.1652,0.0038,0.006,0.736842105263158,0.263157894736842,0.733333333333333,0.266666666666667,0.0142688226242574,0.00517783988464198,0.00985504235302795,0.000885828457225184,-0.0131660649933017,0.0022,11,0.0016,6e-04,8,3,0.727272727272727,0.272727272727273,0.000109149959736347,-1.48072258082206e-05,0.0428830608764213,0.0563441752475309,0.801211545296462,0.254545454545455
sorting_additive_bias,4,0.08,0.1,score_high_bias,0.966352766808786,0.943731972104028,0.962769695238837,0.0190377231348096,0.1652,0.606,0.006,0.261056105610561,0.738943894389439,0.733333333333333,0.266666666666667,0.0142688226242574,0.00517783988464198,0.0110885708683719,0.000885828457225184,0.186833935006698,0.6,3000,0.4462,0.1538,2231,769,0.743666666666667,0.256333333333333,0.0224679447817618,-0.00343022164695223,-0.0317295385580159,0.0431636107145233,0.801211545296462,0.408125313791702
sorting_additive_bias,4,0.12,-0.1,score_low_bias,0.966352766808786,0.962536031936043,0.960273002038038,-0.00226302989800464,0.1652,0.0038,0.1936,0.578947368421053,0.421052631578947,0.370867768595041,0.629132231404959,0.0183940181988138,0.0106683059097755,0.0107255540869691,0.00230531951953296,-0.103222369240503,0.1898,949,0.0696,0.1202,348,601,0.366701791359326,0.633298208640674,0.00208984465953577,-0.00435287455754036,-0.0119232344468103,0.0339447798581461,0.71558025361521,0.195899944469756
sorting_additive_bias,4,0.12,0.1,score_high_bias,0.966352766808786,0.938098094067316,0.960273002038038,0.0221749079707221,0.1652,0.606,0.1936,0.24950495049505,0.750495049504951,0.370867768595041,0.629132231404959,0.0183940181988138,0.0106683059097755,0.0119590826023131,0.00230531951953296,0.0967776307594967,0.4124,2062,0.333,0.0794,1665,397,0.807468477206596,0.192531522793404,0.0236516249722892,-0.001476717001567,-0.0537703879018481,0.0609319640491177,0.71558025361521,0.229126864262915
sorting_additive_bias,5,0,-0.1,score_low_bias,0.966537108400913,0.963211490977368,0.965784115571579,0.00257262459421082,0.1576,0.0026,0.0624,1,0,1,0,0.01,0.000941686326910678,0.0106864863479614,0.00151173045537803,-0.0796001490593161,0.0598,299,0.0598,0,299,0,1,0,0.00257262459421082,0,0.0430204781640605,0.0430204781640605,1,1
sorting_additive_bias,5,0,0.1,score_high_bias,0.966537108400913,0.950378780986227,0.965784115571579,0.0154053345853518,0.1576,0.5954,0.0624,0.264696002687269,0.735303997312731,1,0,0.01,0.000941686326910678,0.0110745461604301,0.00151173045537803,0.120399850940684,0.533,2665,0.4378,0.0952,2189,476,0.821388367729831,0.178611632270169,0.0161583274146862,-0.000752992829334406,-0.0289030667642623,0.0317285558049168,1,1
sorting_additive_bias,5,0.02,-0.1,score_low_bias,0.966537108400913,0.963160636868821,0.965578212621058,0.00241757575223689,0.1576,0.0026,0.0872,1,0,0.873853211009174,0.126146788990826,0.0103589806966481,0.0014524755851722,0.010846825633986,0.00113166703877737,-0.087924030979978,0.0846,423,0.0736,0.011,368,55,0.869976359338062,0.130023640661939,0.00250111454430424,-8.35387920673239e-05,0.0285765455347153,0.0305514578767324,0.970240210489608,0.646432845447402
sorting_additive_bias,5,0.02,0.1,score_high_bias,0.966537108400913,0.949857428528237,0.965578212621058,0.0157207840928209,0.1576,0.5954,0.0872,0.264696002687269,0.735303997312731,0.873853211009174,0.126146788990826,0.0103589806966481,0.0014524755851722,0.0112348854464547,0.00113166703877737,0.112075969020022,0.5082,2541,0.4268,0.0814,2134,407,0.83982683982684,0.16017316017316,0.0165961410806088,-0.000875356987788012,-0.0309342465423471,0.0343791776237639,0.970240210489608,0.8190699795573
sorting_additive_bias,5,0.05,-0.1,score_low_bias,0.966537108400913,0.963137967717333,0.963452140195895,0.000314172478562025,0.1576,0.0026,0.0128,1,0,0.828125,0.171875,0.0119131412531165,0.00275706036730597,0.010568985106379,0.00091492837857283,-0.0384249808697058,0.0102,51,0.008,0.0022,40,11,0.784313725490196,0.215686274509804,0.00034467610404351,-3.05036254815127e-05,0.0308012233884311,0.0367823264240218,0.885586712447469,-0.0295022624434389
sorting_additive_bias,5,0.05,0.1,score_high_bias,0.966537108400913,0.947468539396042,0.963452140195895,0.0159836007998529,0.1576,0.5954,0.0128,0.263352368155862,0.736647631844138,0.828125,0.171875,0.0119131412531165,0.00275706036730597,0.0109570449188477,0.00091492837857283,0.161575019130294,0.5826,2913,0.4364,0.1462,2182,731,0.749055956059046,0.250944043940954,0.0190216660324975,-0.00303806523264465,-0.0274349481631529,0.0378642829817064,0.885586712447469,0.550409629118093
sorting_additive_bias,5,0.08,-0.1,score_low_bias,0.966537108400913,0.963018367531858,0.963468713994443,0.000450346462584572,0.1576,0.0026,0.0456,0.692307692307692,0.307692307692308,0.583333333333333,0.416666666666667,0.0144667229547429,0.00483713390257196,0.0106323883414713,0.00166153649002194,-0.0716266239942699,0.043,215,0.0248,0.0182,124,91,0.576744186046512,0.423255813953488,0.000867522576738445,-0.00041717611415392,0.0104731735484773,0.0298767137416829,0.795162723966509,0.136681639257166
sorting_additive_bias,5,0.08,0.1,score_high_bias,0.966537108400913,0.943139147133951,0.963468713994443,0.0203295668604913,0.1576,0.5954,0.0456,0.252603291904602,0.747396708095398,0.583333333333333,0.416666666666667,0.0144667229547429,0.00483713390257196,0.01102044815394,0.00166153649002194,0.12837337600573,0.5498,2749,0.426,0.1238,2130,619,0.774827209894507,0.225172790105493,0.0228939681080719,-0.0025644012475807,-0.036976294762625,0.0463047823856905,0.795162723966509,0.341910991777154
sorting_additive_bias,5,0.12,-0.1,score_low_bias,0.966537108400913,0.962964105559884,0.96253796386414,-0.000426141695744509,0.1576,0.0026,0.0598,0.615384615384615,0.384615384615385,0.387959866220736,0.612040133779264,0.0181776280215564,0.00803978722078004,0.0109255199397221,0.00113477174408508,-0.0786018776025933,0.0572,286,0.0216,0.0356,108,178,0.377622377622378,0.622377622377622,0.00069523558526131,-0.00112137728100589,-0.00745002964588431,0.0317589661934826,0.71774675904587,0.117838259301674
sorting_additive_bias,5,0.12,0.1,score_high_bias,0.966537108400913,0.938690967039165,0.96253796386414,0.0238469968249745,0.1576,0.5954,0.0598,0.240846489754787,0.759153510245213,0.387959866220736,0.612040133779264,0.0181776280215564,0.00803978722078004,0.0113135797521908,0.00113477174408508,0.121398122397407,0.5356,2678,0.4154,0.1202,2077,601,0.775578790141897,0.224421209858103,0.0264859944198908,-0.00263899759491633,-0.0445238925036864,0.0543782524548303,0.71774675904587,0.290630880843932
sorting_additive_bias,6,0,-0.1,score_low_bias,0.966202478628561,0.963031625054377,0.965187996966553,0.00215637191217566,0.1624,0.0044,0.051,1,0,1,0,0.01,0.000746731033298838,0.0106751739631752,0.00123926323120811,-0.0771306468138088,0.0466,233,0.0466,0,233,0,1,0,0.00215637191217558,0,0.0462740753685746,0.0462740753685746,1,1
sorting_additive_bias,6,0,0.1,score_high_bias,0.966202478628561,0.950012982803998,0.965187996966553,0.0151750141625554,0.1624,0.5964,0.051,0.272300469483568,0.727699530516432,1,0,0.01,0.000746731033298838,0.010447183009204,0.00123926323120811,0.122869353186191,0.5454,2727,0.434,0.1114,2170,557,0.795746241290796,0.204253758709204,0.0161894958245633,-0.00101448166200792,-0.0278236416621845,0.0315437797700243,1,1
sorting_additive_bias,6,0.02,-0.1,score_low_bias,0.966202478628561,0.962981202913821,0.965252562335842,0.0022713594220205,0.1624,0.0044,0.1058,1,0,0.820415879017013,0.179584120982987,0.0103781153477139,0.00144073180351724,0.0110181914414363,0.000950638889869589,-0.0916607403633181,0.1014,507,0.0824,0.019,412,95,0.812623274161736,0.187376725838264,0.00247103745280961,-0.000199678030789151,0.0223999943000046,0.0263384169980154,0.96842725915309,0.614501580898758
sorting_additive_bias,6,0.02,0.1,score_high_bias,0.966202478628561,0.949552951355165,0.965252562335842,0.0156996109806766,0.1624,0.5964,0.1058,0.272300469483568,0.727699530516432,0.820415879017013,0.179584120982987,0.0103781153477139,0.00144073180351724,0.0107902004874652,0.000950638889869589,0.108339259636682,0.4906,2453,0.415,0.0756,2075,378,0.845902975947819,0.154097024052181,0.016449849242607,-0.000750238261930383,-0.032000837710307,0.0350592896545808,0.96842725915309,0.808930809105608
sorting_additive_bias,6,0.05,-0.1,score_low_bias,0.966202478628561,0.962719171686934,0.963939525754793,0.0012203540678587,0.1624,0.0044,0.1226,0.727272727272727,0.272727272727273,0.595432300163132,0.404567699836868,0.0119699387878724,0.00292430497735086,0.0105595409851852,0.000491868961043095,-0.0945965664901622,0.1182,591,0.0698,0.0484,349,242,0.590524534686971,0.409475465313029,0.00213194558366166,-0.000911591515802949,0.0103244844996506,0.0257490448347259,0.891957023678281,0.277379892152326
sorting_additive_bias,6,0.05,0.1,score_high_bias,0.966202478628561,0.947085794173812,0.963939525754793,0.0168537315809815,0.1624,0.5964,0.1226,0.27028839704896,0.72971160295104,0.595432300163132,0.404567699836868,0.0119699387878724,0.00292430497735086,0.0103315500312141,0.000491868961043095,0.105403433509838,0.4738,2369,0.3856,0.0882,1928,441,0.81384550443225,0.18615449556775,0.0181934248711026,-0.00133969329012122,-0.0355714047720165,0.0412265051946472,0.891957023678281,0.488451260703346
