experiment,repeat_id,sigma,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
sorting,5,0.08,0.966537108400913,0.962237477813512,0.963165227240973,0.000927749427460878,0.1576,0.1576,0.0554,0.421319796954315,0.578680203045685,0.483754512635379,0.516245487364621,0.00450883967901295,0.00525197607967312,0.000516316767795285,0.000387689059889943,0.0233002928272403,0.1022,511,0.0626,0.0396,313,198,0.61252446183953,0.38747553816047,0.0019828677855094,-0.00105511835804847,-0.00907778304756284,0.0297258918156347,0.805910185516407,0.114003863531714
sorting,5,0.12,0.966537108400913,0.961077079624695,0.963034874518954,0.00195779489425885,0.1576,0.1576,0.0422,0.380710659898477,0.619289340101523,0.535545023696682,0.464454976303318,0.00801375284345406,0.00840782875926753,0.000754265793756491,0.000505069527567804,0.0303287687091945,0.1154,577,0.078,0.0374,390,187,0.675909878682842,0.324090121317158,0.00291332030042065,-0.000955525406161887,-0.0169652937110811,0.0335255260535748,0.721872681578907,0.210908249526745
sorting,6,0,0.966202478628561,0.966202478628561,0.965187996966553,-0.0010144816620079,0.1624,0.1624,0.051,1,0,1,0,0,0.000746731033298838,0.000561178486189588,0.00123926323120811,0.0228693531861912,0.1114,557,0,0.1114,0,557,0,1,0,-0.00101448166200792,0.00910665764818598,0.00910665764818598,1,1
sorting,6,0.02,0.966202478628561,0.965419669380661,0.96470113790762,-0.00071853147304124,0.1624,0.1624,0.0452,0.741379310344828,0.258620689655172,0.969026548672566,0.0309734513274336,0.000359881309583783,0.00110627058964044,0.00156970839153445,0.000605405842911006,0.0261367549329705,0.1172,586,0.0406,0.0766,203,383,0.34641638225256,0.65358361774744,0.000423132102239546,-0.00114166357528081,0.006130814616393,0.0133514989549518,0.971159644286386,0.28881961474132
sorting,6,0.05,0.966202478628561,0.963773278709042,0.964080060524303,0.000306781815260782,0.1624,0.1624,0.0782,0.562807881773399,0.437192118226601,0.662404092071611,0.337595907928389,0.00192167230621577,0.00269844557952312,0.00100734140355892,0.000858859013542673,0.0143071480245454,0.0842,421,0.0446,0.0396,223,198,0.529691211401425,0.470308788598575,0.00104441535748101,-0.000737633542220227,-0.00364348949240832,0.0211644762434826,0.891159845598394,0.179506510757988
sorting,6,0.08,0.966202478628561,0.962033297039847,0.961645967595557,-0.000387329444289986,0.1624,0.1624,0.1846,0.423645320197044,0.576354679802956,0.409534127843987,0.590465872156013,0.00436521040595154,0.00552950560462894,0.000949545299683491,0.000361294484556854,-0.00269304344627819,0.0222,111,0.0068,0.0154,34,77,0.306306306306306,0.693693693693694,0.000130851430344361,-0.000518180874634352,-0.0174472722653149,0.0292356894134555,0.812645852697834,-0.0667690417690418
sorting,6,0.12,0.966202478628561,0.960233363341906,0.962608218411285,0.00237485506937984,0.1624,0.1624,0.0156,0.364532019704434,0.635467980295567,0.5,0.5,0.00874501324125001,0.00889496301998172,0.00144851683971471,0.000625677294130306,0.0588079165591913,0.1468,734,0.0954,0.0514,477,257,0.649863760217984,0.350136239782016,0.00364779060711111,-0.00127293553773128,-0.0161774868486364,0.0335199328667738,0.712148338341934,0.133662435016124
sorting,7,0,0.963903709974024,0.963903709974024,0.963837318119896,-6.6391854127601e-05,0.1606,0.1606,0.1906,1,0,0.842602308499475,0.157397691500525,0,0.000958484978093638,0.000443640774118676,0.000886239536514583,-0.00420962183827456,0.03,150,0,0.03,0,150,0,1,0,-6.63918541275196e-05,-0.00221306180425065,0.00221306180425065,1,1
sorting,7,0.02,0.963903709974024,0.962978615053204,0.961420624240919,-0.0015579908122848,0.1606,0.1606,0.3076,0.714819427148194,0.285180572851806,0.498699609882965,0.501300390117035,0.00037539378658823,0.00155381283863115,0.000685851039348256,0.00120277686059863,-0.0186147513511307,0.147,735,0.0386,0.1084,193,542,0.262585034013605,0.737414965986395,0.000356291006293118,-0.00191428181857796,-0.0105985769543187,0.0154460736385788,0.968232138281285,0.264717251075291
sorting,7,0.05,0.963903709974024,0.961417565277599,0.959022142394921,-0.00239542288267747,0.1606,0.1606,0.2992,0.534246575342466,0.465753424657534,0.42379679144385,0.57620320855615,0.00191760114660388,0.00250336830343766,0.000906770403606924,0.000703805474063952,-0.0175898155506686,0.1386,693,0.041,0.0976,205,488,0.295815295815296,0.704184704184704,0.000541465299181045,-0.00293688818185848,-0.0172829933815111,0.0250963454620457,0.891154859838194,0.186445985591427
sorting,7,0.08,0.963903709974024,0.960106056552454,0.960856050530701,0.000749993978247487,0.1606,0.1606,0.066,0.448318804483188,0.551681195516812,0.509090909090909,0.490909090909091,0.00419281890733833,0.00509914272676201,0.00037483819820732,0.00124728815154505,0.0176512541312329,0.0946,473,0.0562,0.0384,281,192,0.594080338266385,0.405919661733615,0.00161300701346741,-0.000863013035219899,-0.00792805473834576,0.0261735734533542,0.817386277207451,0.0956935173018158
sorting,7,0.12,0.963903709974024,0.958301709025699,0.960036250245373,0.00173454121967309,0.1606,0.1606,0.0626,0.356164383561644,0.643835616438356,0.434504792332268,0.565495207667732,0.0083959033895156,0.00813315265776067,0.00146359741555265,0.000485237260216682,0.0189598765313155,0.098,490,0.068,0.03,340,150,0.693877551020408,0.306122448979592,0.00246352009722647,-0.000728978877553323,-0.0176994002007464,0.0325765201508142,0.720007845120314,0.067285357035121
sorting,8,0,0.964632497323796,0.964632497323796,0.964083535067466,-0.000548962256330277,0.1614,0.1614,0.2546,1,0,0.633935585231736,0.366064414768264,0,0.000768418610205212,0.000828145171264618,0.000112848540186942,-0.0119241643791075,0.0932,466,0,0.0932,0,466,0,1,0,-0.000548962256330265,-0.00589015296491701,0.00589015296491701,1,1
sorting,8,0.02,0.964632497323796,0.96375335802626,0.963571304373735,-0.000182053652525216,0.1614,0.1614,0.1974,0.714993804213135,0.285006195786865,0.645390070921986,0.354609929078014,0.000359883005086817,0.00160748524622382,0.000777621846349059,0.000433747633282821,-0.00449006814767905,0.036,180,0.012,0.024,60,120,0.333333333333333,0.666666666666667,0.000118048611676649,-0.000300102264201923,-0.00505704590347982,0.0116153021077381,0.967869289178772,0.145730835313847
sorting,8,0.05,0.964632497323796,0.961896200206219,0.962070123170433,0.000173922964213924,0.1614,0.1614,0.1444,0.524163568773234,0.475836431226766,0.545706371191136,0.454293628808864,0.00192389124676827,0.00283635201105094,0.00105556668544783,0.000402247365628818,0.00187880561059961,0.017,85,0.0112,0.0058,56,29,0.658823529411765,0.341176470588235,0.000294999460383301,-0.000121076496169364,-0.0102307626008198,0.0244750562678038,0.884355371470215,0.0670705491498925
sorting,8,0.08,0.964632497323796,0.960702254942666,0.961489256432575,0.000787001489909067,0.1614,0.1614,0.0206,0.447335811648079,0.552664188351921,0.689320388349515,0.310679611650485,0.00427749251987291,0.00521304724233327,0.0012425218467049,0.000295044236404433,0.0472262282323398,0.1408,704,0.0828,0.058,414,290,0.588068181818182,0.411931818181818,0.00226324160556561,-0.00147624011565662,-0.00558949921810358,0.0265588190427715,0.809973946894958,0.169690962468118
sorting,8,0.12,0.964632497323796,0.958843572027251,0.958173086240825,-0.000670485786425257,0.1614,0.1614,0.1876,0.344485749690211,0.655514250309789,0.336886993603412,0.663113006396588,0.00803777495986831,0.00816946927134185,0.00224016457340773,0.0013486532374263,-0.00312327427111436,0.0262,131,0.0076,0.0186,38,93,0.290076335877863,0.709923664122137,0.000196516461227395,-0.0008670022476527,-0.0255910605505842,0.0405923171328281,0.711554361166174,0.126877702450222
sorting,9,0,0.965932642117405,0.965932642117405,0.96491674700659,-0.00101589511081479,0.1612,0.1612,0.0552,1,0,1,0,0,0.00103845656441429,0.000329868656338103,0.000613912094881535,0.0253816746737983,0.106,530,0,0.106,0,530,0,1,0,-0.00101589511081478,0.00958391613976212,0.00958391613976212,1,1
sorting,9,0.02,0.965932642117405,0.965070631566821,0.964613266937386,-0.00045736462943502,0.1612,0.1612,0.0634,0.718362282878412,0.281637717121588,0.933753943217665,0.0662460567823344,0.000359645277836672,0.00166737837300175,0.000300053329932173,0.001093042341473,0.0214436633664485,0.0978,489,0.0412,0.0566,206,283,0.421267893660532,0.578732106339468,0.000470123591451177,-0.000927488220886175,0.00467652995332309,0.0142905093286028,0.967698350899934,0.290983298680027
sorting,9,0.05,0.965932642117405,0.963190714203447,0.962732820754218,-0.000457893449229085,0.1612,0.1612,0.015,0.528535980148883,0.471464019851117,0.853333333333333,0.146666666666667,0.00198618130332102,0.0030554638839608,0.00117602746069815,0.00203700319049639,0.0644568028579996,0.1462,731,0.0738,0.0724,369,362,0.504787961696307,0.495212038303694,0.0015679775806869,-0.00202587102991603,0.00313196613699815,0.0245817278427013,0.883171983550879,0.203081124239396
sorting,9,0.08,0.965932642117405,0.961449634566216,0.962378779015235,0.000929144449018704,0.1612,0.1612,0.0246,0.420595533498759,0.579404466501241,0.577235772357724,0.422764227642276,0.00432789926207402,0.00559859139738844,0.000803843488669576,0.000250058896700685,0.0493534571288544,0.1366,683,0.083,0.0536,415,268,0.607613469985359,0.392386530014641,0.00231993251487487,-0.00139078806585614,-0.00680193593717959,0.0271648651590849,0.808996121191845,0.0925793894619633
sorting,9,0.12,0.965932642117405,0.960498836939782,0.962036486964827,0.0015376500250448,0.1612,0.1612,0.0028,0.397022332506204,0.602977667493797,0.857142857142857,0.142857142857143,0.00846633099583784,0.00855501178366368,0.00114224634182512,0.00050734980984872,0.11129028259729,0.1584,792,0.0968,0.0616,484,308,0.611111111111111,0.388888888888889,0.00329748253606457,-0.00175983251101976,-0.00970738652174751,0.0319274939841183,0.720005303232212,0.120715205293763
