sample_size,learner,calibration_method,raw_bin,raw_bin_mid,raw_bin_lower,raw_bin_upper,corrected_rate,wrong_rate,total_flip_rate,count
1000,GLMnet,Causal Isotonic,5,-0.311869363310703,-0.320534337809594,-0.303823215358793,0,0,0,19670
1000,GLMnet,Causal Isotonic,8,-0.261980267288901,-0.270397630482891,-0.253687506405691,0,0,0,31939
1000,GLMnet,Causal Isotonic,28,0.0717132605307612,0.0638420526451172,0.0805518678332864,0.0711917422583672,-0.0675007819831092,0.138692524241476,15985
1000,GLMnet,Causal Isotonic,27,0.0550779012011768,0.0471299750732196,0.0638404758514062,0.0990585533869116,-0.0835820895522388,0.18264064293915,21775
1000,GLMnet,Causal Isotonic,16,-0.128347118021143,-0.136701909093199,-0.119990621958515,0.000711883545671012,-0.00689790608046739,0.0076097896261384,40737
1000,GLMnet,Causal Isotonic,2,-0.361894022447501,-0.370669087832016,-0.353965207995149,0,0,0,7849
1000,GLMnet,Causal Isotonic,25,0.021874291135187,0.013706230908291,0.0304166524658603,0.250972762645914,-0.141417363015883,0.392390125661798,31354
1000,GLMnet,Causal Isotonic,14,-0.161768218658898,-0.170126048710388,-0.153415276518539,0,0,0,39907
1000,GLMnet,Causal Isotonic,6,-0.295187846141723,-0.303821000113322,-0.287110892680197,0,0,0,24158
1000,GLMnet,Causal Isotonic,24,0.00519854398713374,-0.00300574777126462,0.0137058914813498,0.285338983050848,-0.189293785310734,0.474632768361582,35400
1000,GLMnet,Causal Isotonic,30,0.105049326966867,0.0972674607992497,0.11397805923318,0.0195507487520799,-0.0348031059345535,0.0543538546866334,7212
1000,GBRT 8,Causal Isotonic,25,0.0442690479712379,0.0278457913607674,0.0644785880614711,0.63091962346126,-0.296681148925899,0.927600772387159,82860
1000,GBRT 8,Causal Isotonic,9,-0.539746986978107,-0.558297123544949,-0.521667089063941,0,0,0,11126
1000,GBRT 8,Causal Isotonic,20,-0.136377913125725,-0.155324450948398,-0.118691262501985,0,0,0,49098
1000,GBRT 8,Causal Isotonic,14,-0.356522840970751,-0.375124971739312,-0.338495801801556,0,0,0,20257
1000,GBRT 8,Causal Isotonic,16,-0.283067406972753,-0.301860515581383,-0.265228393136691,0,0,0,25354
1000,GBRT 8,Causal Isotonic,23,-0.026249709875979,-0.0454223265941217,-0.0087885195069425,0.0014271672148501,-0.00665381271029451,0.00808097992514461,105804
1000,GBRT 8,Causal Isotonic,8,-0.576219642832531,-0.594928409712201,-0.558306705302323,0,0,0,9809
1000,GBRT 8,Causal Isotonic,22,-0.0628677528931159,-0.0820559524862904,-0.0454225933234472,0.000238951631159293,-0.00247755112307267,0.00271650275423196,79514
1000,GBRT 8,Causal Isotonic,3,-0.759213125797752,-0.778102186180343,-0.741481444895042,0,0,0,4557
1000,GBRT 8,Causal Isotonic,13,-0.39313385693496,-0.41176259085129,-0.375129773079841,0,0,0,17777
1000,GBRT 8,Causal Isotonic,24,0.00929653169276206,-0.00878819767140417,0.0278454693719335,0.531702102977976,-0.206759690436339,0.738461793414315,120686
1000,GBRT 8,Causal Isotonic,26,0.080805116112851,0.0644798191528536,0.101111360067788,0.577650946230099,-0.29727106777272,0.874922014002819,43277
1000,GBRT 8,Causal Isotonic,19,-0.173061376432692,-0.191956855497742,-0.155327460765836,0,0,0,40203
1000,GBRT 8,Causal Isotonic,4,-0.722558758818841,-0.741453784040634,-0.704848030362657,0,0,0,5380
1000,GBRT 8,Causal Isotonic,7,-0.612709226882997,-0.63156273693268,-0.594940388188188,0,0,0,8725
1000,GBRT 8,Causal Isotonic,10,-0.502934577596147,-0.521665171059349,-0.48503773305923,0,0,0,12657
1000,GBRT 8,Causal Isotonic,21,-0.0997204333572914,-0.118689179427766,-0.0820567188114587,0,0,0,61507
1000,GBRT 8,Causal Isotonic,30,0.227976518621152,0.211019539399599,0.247650046539034,0.437836624775584,-0.187836624775584,0.625673249551167,4456
1000,GBRT 8,Causal Isotonic,17,-0.246376544967902,-0.265224540023628,-0.22859422134923,0,0,0,29417
1000,GBRT 8,Causal Isotonic,5,-0.686107793324872,-0.704831076973496,-0.668203770362155,0,0,0,6460
